setting ^bsuite_id=catch/1
setting ^save_path=/tmp/bsuite
setting ^logging_mode=buddy
setting ^overwrite=True
setting ^num_episodes=None
setting ^verbose=True
setting ^_ignored=[]
INFO:absl:Starting the local TPU driver.
INFO:absl:Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
INFO:absl:Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
INFO:absl:Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
WARNING:absl:No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 19:59:33.730968 140306405291840 terminal_logging.py:55] episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 90.0000 | total_return = -23.0000
INFO:absl:episode = 68 | episode_len = 9 | episode_return = 1.0000 | steps = 612 | total_regret = 90.0000 | total_return = -22.0000
I0611 19:59:33.793754 140306405291840 terminal_logging.py:55] episode = 68 | episode_len = 9 | episode_return = 1.0000 | steps = 612 | total_regret = 90.0000 | total_return = -22.0000
INFO:absl:episode = 69 | episode_len = 9 | episode_return = -1.0000 | steps = 621 | total_regret = 92.0000 | total_return = -23.0000
I0611 19:59:33.840635 140306405291840 terminal_logging.py:55] episode = 69 | episode_len = 9 | episode_return = -1.0000 | steps = 621 | total_regret = 92.0000 | total_return = -23.0000
INFO:absl:episode = 70 | episode_len = 9 | episode_return = 1.0000 | steps = 630 | total_regret = 92.0000 | total_return = -22.0000
I0611 19:59:33.885816 140306405291840 terminal_logging.py:55] episode = 70 | episode_len = 9 | episode_return = 1.0000 | steps = 630 | total_regret = 92.0000 | total_return = -22.0000
INFO:absl:episode = 71 | episode_len = 9 | episode_return = -1.0000 | steps = 639 | total_regret = 94.0000 | total_return = -23.0000
I0611 19:59:33.941299 140306405291840 terminal_logging.py:55] episode = 71 | episode_len = 9 | episode_return = -1.0000 | steps = 639 | total_regret = 94.0000 | total_return = -23.0000
INFO:absl:episode = 72 | episode_len = 9 | episode_return = -1.0000 | steps = 648 | total_regret = 96.0000 | total_return = -24.0000
I0611 19:59:33.997178 140306405291840 terminal_logging.py:55] episode = 72 | episode_len = 9 | episode_return = -1.0000 | steps = 648 | total_regret = 96.0000 | total_return = -24.0000
INFO:absl:episode = 73 | episode_len = 9 | episode_return = 1.0000 | steps = 657 | total_regret = 96.0000 | total_return = -23.0000
I0611 19:59:34.048887 140306405291840 terminal_logging.py:55] episode = 73 | episode_len = 9 | episode_return = 1.0000 | steps = 657 | total_regret = 96.0000 | total_return = -23.0000
INFO:absl:episode = 74 | episode_len = 9 | episode_return = -1.0000 | steps = 666 | total_regret = 98.0000 | total_return = -24.0000
I0611 19:59:34.103136 140306405291840 terminal_logging.py:55] episode = 74 | episode_len = 9 | episode_return = -1.0000 | steps = 666 | total_regret = 98.0000 | total_return = -24.0000
INFO:absl:episode = 75 | episode_len = 9 | episode_return = 1.0000 | steps = 675 | total_regret = 98.0000 | total_return = -23.0000
I0611 19:59:34.151136 140306405291840 terminal_logging.py:55] episode = 75 | episode_len = 9 | episode_return = 1.0000 | steps = 675 | total_regret = 98.0000 | total_return = -23.0000
INFO:absl:episode = 76 | episode_len = 9 | episode_return = -1.0000 | steps = 684 | total_regret = 100.0000 | total_return = -24.0000
I0611 19:59:34.198407 140306405291840 terminal_logging.py:55] episode = 76 | episode_len = 9 | episode_return = -1.0000 | steps = 684 | total_regret = 100.0000 | total_return = -24.0000
INFO:absl:episode = 77 | episode_len = 9 | episode_return = -1.0000 | steps = 693 | total_regret = 102.0000 | total_return = -25.0000
I0611 19:59:34.240004 140306405291840 terminal_logging.py:55] episode = 77 | episode_len = 9 | episode_return = -1.0000 | steps = 693 | total_regret = 102.0000 | total_return = -25.0000
INFO:absl:episode = 78 | episode_len = 9 | episode_return = 1.0000 | steps = 702 | total_regret = 102.0000 | total_return = -24.0000
I0611 19:59:34.305148 140306405291840 terminal_logging.py:55] episode = 78 | episode_len = 9 | episode_return = 1.0000 | steps = 702 | total_regret = 102.0000 | total_return = -24.0000
INFO:absl:episode = 79 | episode_len = 9 | episode_return = 1.0000 | steps = 711 | total_regret = 102.0000 | total_return = -23.0000
I0611 19:59:34.345882 140306405291840 terminal_logging.py:55] episode = 79 | episode_len = 9 | episode_return = 1.0000 | steps = 711 | total_regret = 102.0000 | total_return = -23.0000
INFO:absl:episode = 80 | episode_len = 9 | episode_return = 1.0000 | steps = 720 | total_regret = 102.0000 | total_return = -22.0000
I0611 19:59:34.395977 140306405291840 terminal_logging.py:55] episode = 80 | episode_len = 9 | episode_return = 1.0000 | steps = 720 | total_regret = 102.0000 | total_return = -22.0000
INFO:absl:episode = 81 | episode_len = 9 | episode_return = 1.0000 | steps = 729 | total_regret = 102.0000 | total_return = -21.0000
I0611 19:59:34.456654 140306405291840 terminal_logging.py:55] episode = 81 | episode_len = 9 | episode_return = 1.0000 | steps = 729 | total_regret = 102.0000 | total_return = -21.0000
INFO:absl:episode = 82 | episode_len = 9 | episode_return = 1.0000 | steps = 738 | total_regret = 102.0000 | total_return = -20.0000
I0611 19:59:34.505555 140306405291840 terminal_logging.py:55] episode = 82 | episode_len = 9 | episode_return = 1.0000 | steps = 738 | total_regret = 102.0000 | total_return = -20.0000
